"name","longitude","latitude","prov","date","key"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.737823,23.186211,"gbif",2022-01-09,"3960237704"
"Chromolaena odorata (L.) R.M.King & H.Rob.",89.395407,26.534172,"gbif",2022-08-17,"3997948078"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.288316,22.795745,"gbif",2021-01-07,"3018091251"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.102076,24.907725,"gbif",2021-05-12,"3956413091"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.550339,26.338129,"gbif",2021-06-01,"3958164927"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.484488,22.578703,"gbif",2021-08-21,"3957516420"
"Chromolaena odorata (L.) R.M.King & H.Rob.",91.825279,22.745251,"gbif",2021-10-13,"3391686165"
"Chromolaena odorata (L.) R.M.King & H.Rob.",89.07402,24.071033,"gbif",2021-12-25,"3859218829"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.410355,23.430053,"gbif",2021-12-24,"3953166122"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.086565,23.52265,"gbif",2020-07-05,"3958329570"
"Chromolaena odorata (L.) R.M.King & H.Rob.",92.334563,24.424365,"gbif",2020-08-19,"2856806410"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.664673,23.118248,"gbif",2019-12-31,"2646839324"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3974360294"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3974478528"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3976350392"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3974333317"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3972599313"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3977778302"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3976168389"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3976110318"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3974256323"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3974360295"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3972595172"
"SH1004222.09FU",90.5226,26.34126,"gbif",2018-04-11,"3972673411"
"SH1004222.09FU",91.5459,26.2474,"gbif",2018-04-17,"3977539177"
"SH1004222.09FU",91.5459,26.2474,"gbif",2018-04-17,"3972599319"
"SH1004222.09FU",91.5459,26.2474,"gbif",2018-04-17,"3977778308"
"SH1004222.09FU",91.5459,26.2474,"gbif",2018-04-17,"3972669176"
"Chromolaena odorata (L.) R.M.King & H.Rob.",91.819641,23.606882,"gbif",2018-11-09,"2598662914"
"Chromolaena odorata (L.) R.M.King & H.Rob.",91.659416,26.154375,"gbif",2017-10-22,"2598679389"
"Chromolaena odorata (L.) R.M.King & H.Rob.",92.15,21.58,"gbif",2015-03-18,"3351294362"
"Chromolaena odorata (L.) R.M.King & H.Rob.",92.15,21.58,"gbif",2015-08-12,"3348609736"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.075913,26.507959,"gbif",2013-01-01,"4126364830"
"Chromolaena odorata (L.) R.M.King & H.Rob.",88.02301,26.603484,"gbif",2013-01-01,"4126364825"
"Chromolaena odorata (L.) R.M.King & H.Rob.",92.39,23.44,"gbif",2012-11-24,"3348365170"
"Chromolaena odorata (L.) R.M.King & H.Rob.",90.399967,23.738745,"gbif",2008-12-18,"3355040443"
"Chromolaena odorata (L.) R.M.King & H.Rob.",91.25,23.75,"gbif",2005-07-05,"2465008261"
"Eupatorium odoratum L.",91.583333,24.25,"gbif",1999-05-26,"2514922129"
"Chromolaena odorata (L.) R.M.King & H.Rob.",90.78344,23.53086,"gbif",NA,"4164917607"
"Chromolaena odorata (L.) R.M.King & H.Rob.",91.61678,23.53086,"gbif",NA,"4164868629"
