"Species","pa","X","Y","Bio2","Bio3","Bio9","Bio15","Bio18","Bio19"
"Chromolaena odorata",1,91.825279,22.745251,9.47500038146973,46.9059448242188,20.5833339691162,101.707901000977,938,27
"Chromolaena odorata",1,91.819641,23.606882,10.2583332061768,46.417797088623,18.9333324432373,86.7204666137695,1132,42
"Chromolaena odorata",1,90.5226,26.34126,9.18333339691162,47.3367691040039,19.8999996185303,102.149635314941,1441,31
"Chromolaena odorata",1,91.5459,26.2474,9.38333320617676,45.7723579406738,19.2000007629395,90.5730667114258,1030,36
"Chromolaena odorata",1,89.07402,24.071033,10.4749994277954,41.4031639099121,18.716667175293,92.9741363525391,547,32
"Chromolaena odorata",1,91.5459,26.2474,9.38333320617676,45.7723579406738,19.2000007629395,90.5730667114258,1030,36
"Chromolaena odorata",1,90.5226,26.34126,9.18333339691162,47.3367691040039,19.8999996185303,102.149635314941,1441,31
"Chromolaena odorata",1,88.737823,23.186211,10.7833337783813,43.3065605163574,19.966667175293,95.8759918212891,473,33
"Chromolaena odorata",1,90.399967,23.738745,9.25833320617676,43.263240814209,20.5,84.8806686401367,1096,39
"Chromolaena odorata",1,88.288316,22.795745,10.1416664123535,42.4337501525879,20.1499996185303,97.7267150878906,410,37
"Chromolaena odorata",1,88.410355,23.430053,11.2416667938232,43.4041175842285,20.0166664123535,100.269203186035,398,29
"Chromolaena odorata",1,88.664673,23.118248,10.7083330154419,43.353572845459,20.0499992370605,96.5849761962891,462,33
"Chromolaena odorata",1,91.583333,24.25,10.6583337783813,46.1399726867676,18.7666664123535,82.1984786987305,1107,42
"Chromolaena odorata",1,92.39,23.44,9.69166660308838,46.8196449279785,19,85.3552398681641,1051,40
"Chromolaena odorata",1,92.334563,24.424365,10.2749996185303,47.5694427490234,18.6333332061768,78.7549667358398,1269,62
"Chromolaena odorata",1,90.5226,26.34126,9.18333339691162,47.3367691040039,19.8999996185303,102.149635314941,1441,31
"Chromolaena odorata",1,90.5226,26.34126,9.18333339691162,47.3367691040039,19.8999996185303,102.149635314941,1441,31
"Chromolaena odorata",1,89.395407,26.534172,9.75833320617676,47.6016235351562,20.0666656494141,108.897575378418,1783,31
"Chromolaena odorata",1,91.5459,26.2474,9.38333320617676,45.7723579406738,19.2000007629395,90.5730667114258,1030,36
"Chromolaena odorata",1,88.02301,26.603484,10.3833332061768,45.7415580749512,19.6166667938232,115.708084106445,1632,26
"Chromolaena odorata",1,91.5459,26.2474,9.38333320617676,45.7723579406738,19.2000007629395,90.5730667114258,1030,36
"Chromolaena odorata",1,91.659416,26.154375,9.35000038146973,46.0591163635254,18.3166675567627,88.1462554931641,915,34
"Chromolaena odorata",1,88.550339,26.338129,9.84166622161865,44.7348442077637,19.6833343505859,110.305297851562,1716,25
"Chromolaena odorata",1,92.15,21.58,8.38333320617676,46.5740699768066,21.1666660308838,115.09854888916,1219,37
"Chromolaena odorata",1,90.5226,26.34126,9.18333339691162,47.3367691040039,19.8999996185303,102.149635314941,1441,31
"Chromolaena odorata",1,90.5226,26.34126,9.18333339691162,47.3367691040039,19.8999996185303,102.149635314941,1441,31
"Chromolaena odorata",1,90.5226,26.34126,9.18333339691162,47.3367691040039,19.8999996185303,102.149635314941,1441,31
"Chromolaena odorata",1,88.102076,24.907725,10.658332824707,41.9619407653809,18.5833339691162,105.035545349121,338,27
"Chromolaena odorata",1,91.25,23.75,10.091667175293,45.4579582214355,19.3500003814697,88.3552627563477,1154,30
"Chromolaena odorata",1,92.15,21.58,8.38333320617676,46.5740699768066,21.1666660308838,115.09854888916,1219,37
"Chromolaena odorata",1,90.5226,26.34126,9.18333339691162,47.3367691040039,19.8999996185303,102.149635314941,1441,31
"Chromolaena odorata",1,88.484488,22.578703,9.71666622161865,42.9940986633301,20.5499992370605,97.8625030517578,445,42
"Chromolaena odorata",0,90.8541666666667,23.2208333333333,8.625,44.4587631225586,20.4333324432373,91.7505950927734,1238,35
"Chromolaena odorata",0,92.7541666666667,20.5291666666667,8.375,45.7650337219238,21.5166664123535,124.108695983887,1448,26
"Chromolaena odorata",0,89.2791666666667,24.4375,9.82499980926514,41.9871788024902,20.0833339691162,93.6082611083984,815,33
"Chromolaena odorata",0,92.2291666666667,21.0625,7.70833349227905,46.1576881408691,21.7999992370605,119.556922912598,1343,30
"Chromolaena odorata",0,92.5041666666667,21.9458333333333,8.28333282470703,46.5355796813965,17.4500007629395,108.968528747559,1320,56
"Chromolaena odorata",0,90.0708333333333,26.7625,8.81666660308838,46.8971633911133,18.9166679382324,108.588752746582,1789,44
"Chromolaena odorata",0,92.6708333333333,22.1125,8.86666679382324,45.4700813293457,19.6833324432373,107.131744384766,999,33
"Chromolaena odorata",0,91.2791666666667,23.2875,9.39166641235352,45.3703689575195,20.0499992370605,92.5681991577148,1221,32
"Chromolaena odorata",0,88.2375,26.3708333333333,10.3000001907349,45.1754417419434,19.5666656494141,111.452270507812,1478,23
"Chromolaena odorata",0,88.4875,22.3625,9.27499961853027,41.9683265686035,20.5666675567627,99.9161834716797,448,42
"Chromolaena odorata",0,89.2291666666667,22.6791666666667,9.20833396911621,42.2400665283203,21.2666664123535,90.4584503173828,532,55
"Chromolaena odorata",0,92.9291666666667,24.0791666666667,9.52499961853027,47.8643188476562,17.3500003814697,79.0484619140625,993,47
"Chromolaena odorata",0,89.9791666666667,26.5125,10.2416667938232,49.2387771606445,20.1833324432373,107.540054321289,1577,26
"Chromolaena odorata",0,91.4541666666667,26.2208333333333,9.80833339691162,47.6132698059082,19.6000003814697,89.0465698242188,752,35
"Chromolaena odorata",0,89.0375,25.6041666666667,10.1000003814697,43.9130439758301,19.6166667938232,100.998519897461,1191,26
"Chromolaena odorata",0,91.7041666666667,24.7708333333333,9.68333339691162,46.3317375183105,19.8999996185303,88.2028961181641,1850,51
"Chromolaena odorata",0,88.8041666666667,24.2875,10.5416660308838,41.8320083618164,18.716667175293,99.0274276733398,482,31
"Chromolaena odorata",0,90.6708333333333,23.5041666666667,8.96666622161865,43.1089706420898,20.0666656494141,87.3667907714844,842,35
